id,vprasanje,odgovori,nepravilni
1,kaj?,odgovor1/odgovor2/..,
,Kdo je leta 1794 izdal logaritemske tablice?,Jurij Vega,Jožef Stefan/Josip Plemelj/Ivan Vidav
,Koliko metrov je visoka najvi?ja slovenska gora?,2864,2865/2866/2846
,Katero je tretje najve?je slovensko mesto?,Celje,Kranj/Koper//Novo mesto
,Katera slovenska reka ima najve?ji povpre?ni pretok vode?,Drava,Sava/Kolpa/Mura
,Katerega leta je umrl France Pre?eren?,1849,1847/1848/1850
,Katera na?a sosednja dr?ava je povr?insko najve?ja?,Italija,Avstrija/Madžarska/Hrvaška
,S katero dr?avo ima Slovenija najdalj?o dr?avno mejo?,Hrva?ko,Italijo/Avstrijo/Madžarsko
,S katero dr?avo ima Slovenija najkraj?o dr?avno mejo?,Mad?arsko,Italijo/Avstrijo/Hrvaško
,Katera je druga najvi?ja gora v Sloveniji?,?krlatica,Stol/Grintovec/Kredarica
,Kako se imenujejo najstarej?i slovenski rokopisi?,Bri?inski spomeniki,Abecednik/Katekizem/Hlapci
,Kaj je Slovenija po politi?ni ureditvi?,Parlamentarna demokracija,Parlamentarna monarhija/Socialistična republika/Nacionalistična demokracija
,Kdo je bil prvi predsednik samostojne Republike Slovenije?,Milan Ku?an,Alojz Peterle/Viktor Avbelj/Janez Stanovnik
,Kdo je bil drugi predsednik samostojne Republike Slovenije?,Janez Drnov?ek,
,Kdo je bil tretji predsednik samostojne Republike Slovenije?,Danilo Turk,
,Kdo je bil prvi predsednik vlade samostojne Republike Slovenije?,Alojz Peterle,
,Katero je najve?je naravno jezero v Sloveniji?,Bohinjsko jezero,Blejsko jezero/Triglavsko/Cerkniško
,Katera veroizpoved prevladuje v Sloveniji?,Rimskokatoli?ka,Islam/Protestantizem/Ateizem
,Koliko kilometrov je pribli?no dolga slovenska obala?,"46,6",40.0/45.5/47.8
,Katera je najstarej?a javna univerza v Sloveniji?,Univerza Ljubljana,Univerza Nova Gorica/Univerza Maribor/Univerza Celje
,katera javna univerza je najmlaj?a v Sloveniji?,Univerza na Primorskem,Univerza Ljubljana/Univerza Maribor/Univerza Celje
,Koliko dela prostih praznikov imamo na leto v Sloveniji?,15,10/14/08
,Koliko je vseh prazni?nih dni na leto v Sloveniji?,20,16/18/22
,Kdo je avtor prvih tiskanih knjig v sloven��ini?,Primo� Trubar,Janez Vajkard Valvasor/Adam Bohorič/Jurij Dalmatin
,Katera je po številu prodanih plošč največja glasbena skupina v Sloveniji?,Ansambel bratov Avsenik,Siddharta/Big foot mama/Ansambel Lojzeta Slaka
,Katero je najpogostejše moško ime v Sloveniji?,Franc,Janez/Ivan/Anton
,Katero je najpogostejše žensko ime v Sloveniji?,Marija,Ana/Jožica/Maja
,Koliko dni je trajala slovenska osamosvojitvena vojna?,10,11/15/14
,Katera kitica Prešernove zdravljice velja za slovensko himno?,Sedma,Osma/Deveta/Šesta
,Koliko kitic ima Prešernova pesem zdravljica?,8,07/09/10
,Katerega leta se je rodil France Prešeren?,1800,1795/1805/1802
,Kje se je rodil France Prešeren?,Vrba,Kranj/Ljubljana/Radovljica
,Katera reka izvira kot slap Rinka?,Savinja,Krka/Kolpa/Sava Bohinjka
,Katera je najvišja gora v Karavankah?,Stol,Grintovec/Triglav/Škrlatica
,Katera je najvišja gora v Kamniško Savinjskih Alpah?,Grintovec,Stol/Triglav/Golica
,Kateri je najpogostejši priimek v Sloveniji?,Novak,Horvat/Kovačič/Krajnc
,Kaj proizvaja znano slovensko podjetje Akrapovič?,Izpušne sisteme,Motorje/Jermene/Dirkalnike
,Kje je imela sedež slovenska avtomobilska tovarna TAM?,Maribor,Ljubljana/Celje/Kranj
,Koliko različnih barv najdemo na slovenski zastavi?,4,03/05/06
,V kakšnem vrstnem redu od vrha si sledijo barve na slovenski zastavi?,"Bela, modra, rdeča","Bela, rdeča, modra/Rdeča, bela, modra/ Modra, bela, rdeča"
,Kateri slovenski športnik je prejel največ olimpijskih medalj?,Leon Štukelj,Tina Maze/Ilka Štuhec/Primož Peterka
,Kdaj v Sloveniji praznujemo dan samostojnosti in enotnosti?,26. decembra,15. avgusta/25. Junija/ 8. februarja
,Kdaj v Sloveniji praznujemo dan državnosti?,25. junija,27. aprila/ 2. maja/23. Novembra
,Kdaj je Slovenija postala članica Evropske Unije?,1. maja 2004,1. aprila 2004/3. junija 2006/6. junija 2007
,Kdaj smo v Sloveniji začeli uporabljati denarno valuto Evro?,1. januarja 2007,15. avgusta/25. Junija/ 8. februarja
,Kdaj je Slovenija postala članica Nata?,29. marca 2004,27. aprila/ 2. maja/23. Novembra
,Koliko zlatih medalj je na olimpijskih igrah osvojila Tina Maze?,2,03/04/05
,Kdo je najuspešnejši slovenski olimpijski športni strelec?,Rajmond Debevec,Primož Peterka/Primož Kozmus/Luka Špik
,Kateri Slovenec velja za največjega maratonskega plavalca?,Martin Strel,Martin Krpan/Luka Špik/Leon Štukelj
,Kdo je najbolj znan slovenski filozof?,Slavoj Žižek,Žiga Frojd/Jernej Kopitar/Matija Čop
,Kdo je edini slovenski dobitnik Nobelove nagrade?,Friderik Pregl,Jurij Vega/Ivan Cankar/France Prešeren
,Kdo je bil prvi slovenski šahovski velemojster?,Milan Vidmar,Vasja Pirc/Albin Planinc/Bruno Parma
,Kje se je rodila Melania Trump?,Novo mesto,Sevnica/Ljubljana/Krško
,Kdo je edini slovenski katoliški kardinal?,Franc Rode,Janez Potočnik/Alojzij Slavko Snoj/Vinko Štrucelj
,Koliko kvadratnih kilometrov meri površina Slovenije?,20.273,24.250/17.863/31.967
,Katera je najdaljša reka v Sloveniji?,Sava,Drava/Mura/Krka
,Kam se izliva reka Sava?,V reko Donavo,V reko Dravo/V reko Muro/V reko Krko
,V kateri državi izvira reka Drava?,V Italiji,V Sloveniji/V Avstriji/V Nemčiji
,Katera vrsta elektrarn v Sloveniji proizvaja največji delež električne energije?,Jedrska elektrarna,Hidroelektrarne/Termoelektrarne/Vetrne elektrarne
,Kateri je največji rudnik v Sloveniji?,Premogovnik Velenje,Premogovnik Trbovlje/Premogovnik Idrija/Premogovnik Senovo
,V katerem mestu je bila leta 1954 ustanovljena Tovarna motorjev Sežana (Tomos)?,V Kopru,V Ljubljani/V Velenju/V Trebnjem
,Kateri je najvišji objekt zgrajen v Sloveniji?,Trboveljski dimnik,Velenjski dimnik/Zagorski dimnik/Litijski dimnik
,Katera je najvišja stavba v Sloveniji?,Kristalna palača,Intercontinental/Ljubljanski Grad/Nebotičnik
,Koliko uradnih jezikov je v Sloveniji?,3,02/01/04
,Kateri so uradni jeziki v Sloveniji?,"Slovenščina, Italijanščina, Madžarščina",Samo Slovenščina/Slovenščina in Italijanščina/Slovenščina in Madžarščina
,Na vsake koliko let so načeloma razpisane predsedniške volitve v Sloveniji?,Na vsake 5 let,Na vsake 4 leta/Na vsake 2 leti/Na vsake 6 let
,Koliko občin je v Sloveniji?,212,252/145/89
,Kdo sta najbogatejša Slovenca?,Iza in Samo Login,Mirko Tuš in soproga/Tanja Ribič in Đuro/Zoran Janković in soproga
,Kje v Sloveniji se nahaja najstarejša vinska trta na svetu?,Na Lentu,V Mariboru/V Celju/Na Ptuju
,Kdo velja za največjega slovenskega arhitekta?,Jože Plečnik,Marko Mušič/Edvard Ravnikar/Milan Černigoj
,Po kom se imenuje največji slovenski javni raziskovalni zavod oziroma inštitut?,Po Jožefu Štefanu,Po Juriju Vegi/Po Jožetu Plečniku/Po Ivani Kobilici
,Kdo je napisal prvi slovenski roman?,Josip Jurčič,Ivan Cankar/Dragotin Kette/Primož Trubar
,Kateri slovenski pisatelj je bil tudi odvetnik in župan Ljubljane?,Ivan Tavčar,Ivan Cankar/Josip Murn/Oton Zupančič
,Za katero mejo se je boril general Rudolf Maister?,Za severno mejo,Za južno mejo/Za vzhodno mejo/Za zahodno mejo
,Koliko neformalnih pokrajin je v Sloveniji?,7,08/05/04
,Koliko narečnih skupin ima slovenski jezik?,7,09/05/06
,Koliko narečij pozna slovenski jezik?,Več kot 30,Več kot 500/Več kot 160/Več kot 90
,Kam se izliva reka Krka?,V reko Savo,V reko Dravo/V reko Donavo/V reko Muro
,Kam se izliva reka Soča?,V jadransko morje,V reko Savo/V Cerkniško jezero/V reko Krko
,Koliko mednarodnih letališč je v Sloveniji?,3,01/02/04
,Kje je največje ladijsko pristanišče v Sloveniji?,V Kopru,V Ankaranu/V Piranu/V Izoli
,"Koliko je bil star slovenski pesnik Srečko Kosovel, ko je umrl?",22 let,25 let/24 let/32 let
,Kje se je rodil slovenski pesnik Srečko Kosovel?,V Sežani,V Izoli/V Kopru/V Piranu
,Kje se je rodil slovenski pisatelj Ivan Cankar?,Na Vrhniki,Na Vrbi/V Ljubljani/V Velenju
,Katerega leta je umrl slovenski pisatelj Ivan Cankar?,1918,1920/1922/1915
,Kje je največji moški zapor v Sloveniji?,Na Dobu pri Mirni,V Ljubljani/V Velenju/V Trebnjem
,Katera znamka avtomobilov se proizvaja tudi v Sloveniji?,Renault,Fiat/Volkswagen/Bmw
,Kolikšna je lahko najdaljša zaporna kazen v Sloveniji?,Dosmrtna,30 let/20 let/25 let
,Kateri je najstarejši slovenski grad?,Blejski grad,Ljubljanski grad/Mokriški grad/Postojnski grad
,Katero drevo velja za simbol slovenstva?,Lipa,Hrast/Bukev/Breza
,Kakšno obliko ima slovenski grb?,Obliko ščita,Obliko lista/Obliko gradu/Obliko Triglava
,Katerega je bila ustanovljena prva predhodnica današnje Slovenske filharmonije?,1701,1658/1725/1854
,Kateri katoliški meniški red domuje v Pleterjah?,Kartuzijani,Kapucini/Frančiškani/Menoriti
,Katero je najbolj znano rdeče kraško vino?,Teran,Frankinja/Cviček/Merlot
,Direktor katerega znanega podjetja je Ivo Boscarol?,Pipistrel,Akrapović/Gorenje/Tomos
,"Kdaj praznujemo Prešernov dan, oziroma slovenski kulturni praznik?",8. februarja,10. februarja/26. Marca/11. Aprila
,Kolikšna je največja dovoljena hitrost na hitri cesti v Sloveniji? (kmh),110,130/90/120
,Kje je največja knjižnica v Sloveniji?,V Ljubljani,V Mariboru/V Kranju/V Kopru
,Kam se izliva reka Ljubljanica?,V reko Savo,V reko Dravo/V reko Krko/V reko Muro
